CSD Code,Census subdivision (CSD) name,2006 Income Score,2006 Education Score,2006 Housing Score,2006 Labour Force Activity Score,2006 CWB Score,2006 2B Population,Type of collectivity,Province
1001101,"Division No.  1, Subd. V",,,,,,,Other,Newfoundland and Labrador
1001105,Portugal Cove South,,,,,69,230,Other,Newfoundland and Labrador
1001113,Trepassey,80,42,95,69,72,755,Other,Newfoundland and Labrador
1001120,St. Shott's,,,,,74,110,Other,Newfoundland and Labrador
1001124,"Division No.  1, Subd. U",75,43,94,77,72,1620,Other,Newfoundland and Labrador
1001126,Cape Broyle,74,49,100,69,73,545,Other,Newfoundland and Labrador
1001131,Renews-Cappahayden,81,51,93,80,76,420,Other,Newfoundland and Labrador
1001136,Fermeuse,78,38,95,70,70,250,Other,Newfoundland and Labrador
1001140,Port Kirwan,,,,,76,85,Other,Newfoundland and Labrador
1001144,Aquaforte,,,,,68,110,Other,Newfoundland and Labrador
1001149,Ferryland,75,51,97,78,75,530,Other,Newfoundland and Labrador
1001155,"Division No.  1, Subd. W",83,39,93,70,71,560,Other,Newfoundland and Labrador
1001169,St. Vincent's-St. Stephen's-Peter's River,67,21,93,64,61,365,Other,Newfoundland and Labrador
1001174,Gaskiers-Point La Haye,66,29,93,57,61,300,Other,Newfoundland and Labrador
1001178,St. Mary's,81,53,100,71,76,460,Other,Newfoundland and Labrador
1001181,Riverhead,,,,,69,210,Other,Newfoundland and Labrador
1001186,Admirals Beach,,,,,73,185,Other,Newfoundland and Labrador
1001192,St. Joseph's,,,,,78,155,Other,Newfoundland and Labrador
1001197,Mount Carmel-Mitchells Brook-St. Catherines,77,43,98,55,68,435,Other,Newfoundland and Labrador
1001203,"Division No.  1, Subd. X",73,46,96,69,71,510,Other,Newfoundland and Labrador
1001207,Colinet,,,,,76,165,Other,Newfoundland and Labrador
1001214,"Division No.  1, Subd. C",,,,,64,185,Other,Newfoundland and Labrador
1001219,Branch,88,37,100,79,76,310,Other,Newfoundland and Labrador
1001225,Point Lance,,,,,73,120,Other,Newfoundland and Labrador
1001228,St. Bride's,63,30,91,61,61,375,Other,Newfoundland and Labrador
1001234,"Division No.  1, Subd. B",73,46,93,63,69,480,Other,Newfoundland and Labrador
1001240,Placentia,75,50,97,73,74,3795,Other,Newfoundland and Labrador
1001254,Fox Harbour,66,42,91,52,63,310,Other,Newfoundland and Labrador
1001259,"Division No.  1, Subd. A",79,44,95,72,72,895,Other,Newfoundland and Labrador
1001263,Long Harbour-Mount Arlington Heights,,,,,77,210,Other,Newfoundland and Labrador
1001267,Southern Harbour,75,36,91,69,68,475,Other,Newfoundland and Labrador
1001270,Arnold's Cove,82,41,94,70,72,1000,Other,Newfoundland and Labrador
1001274,Come By Chance,81,37,93,77,72,260,Other,Newfoundland and Labrador
1001277,Sunnyside,81,44,97,74,74,470,Other,Newfoundland and Labrador
1001281,Chance Cove,66,45,100,83,74,310,Other,Newfoundland and Labrador
1001285,Norman's Cove-Long Cove,73,40,96,72,70,775,Other,Newfoundland and Labrador
1001289,Chapel Arm,69,39,94,63,66,450,Other,Newfoundland and Labrador
1001293,"Division No.  1, Subd. Y",75,46,97,74,73,1185,Other,Newfoundland and Labrador
1001298,Whitbourne,73,44,93,77,71,855,Other,Newfoundland and Labrador
1001304,"Division No.  1, Subd. E",72,44,96,73,71,3010,Other,Newfoundland and Labrador
1001308,Whiteway,,,,,73,190,Other,Newfoundland and Labrador
1001312,Heart's Delight-Islington,67,41,96,62,66,665,Other,Newfoundland and Labrador
1001316,Heart's Desire,,,,,60,225,Other,Newfoundland and Labrador
1001321,"Division No.  1, Subd. F",78,41,93,77,72,580,Other,Newfoundland and Labrador
1001325,Heart's Content,74,52,100,82,77,415,Other,Newfoundland and Labrador
1001328,New Perlican,,,,,64,185,Other,Newfoundland and Labrador
1001332,Winterton,67,30,95,75,67,500,Other,Newfoundland and Labrador
1001335,Hant's Harbour,72,46,96,79,73,405,Other,Newfoundland and Labrador
1001339,"Division No.  1, Subd. G",73,41,96,73,71,2220,Other,Newfoundland and Labrador
1001343,Old Perlican,74,40,98,89,75,645,Other,Newfoundland and Labrador
1001347,Bay de Verde,69,37,89,88,71,470,Other,Newfoundland and Labrador
1001352,Small Point-Adam's Cove-Blackhead-Broad Cove,72,41,99,75,72,435,Other,Newfoundland and Labrador
1001357,"Division No.  1, Subd. H",73,39,99,76,71,425,Other,Newfoundland and Labrador
1001361,Salmon Cove,67,41,96,75,70,705,Other,Newfoundland and Labrador
1001365,Victoria,73,46,97,74,72,1745,Other,Newfoundland and Labrador
1001370,Carbonear,78,53,96,73,75,4540,Other,Newfoundland and Labrador
1001374,"Division No.  1, Subd. I",,,,,78,210,Other,Newfoundland and Labrador
1001375,Bryant's Cove,81,44,100,77,75,430,Other,Newfoundland and Labrador
1001379,Harbour Grace,74,53,93,71,73,3070,Other,Newfoundland and Labrador
1001385,Upper Island Cove,77,42,96,72,72,1670,Other,Newfoundland and Labrador
1001391,"Division No.  1, Subd. J",,,,,,,Other,Newfoundland and Labrador
1001394,Bishop's Cove,68,54,98,64,71,330,Other,Newfoundland and Labrador
1001396,Spaniard's Bay,73,47,94,68,70,2525,Other,Newfoundland and Labrador
1001405,"Division No.  1, Subd. K",,,,,,,Other,Newfoundland and Labrador
1001409,Bay Roberts,78,50,96,74,75,5390,Other,Newfoundland and Labrador
1001415,"Division No.  1, Subd. L",81,51,100,82,79,970,Other,Newfoundland and Labrador
1001421,"Division No.  1, Subd. M",77,49,94,77,74,920,Other,Newfoundland and Labrador
1001426,North River,92,53,92,72,77,555,Other,Newfoundland and Labrador
1001429,Clarke's Beach,75,47,97,74,73,1290,Other,Newfoundland and Labrador
1001434,South River,79,55,99,75,77,645,Other,Newfoundland and Labrador
1001437,Cupids,74,43,97,70,71,790,Other,Newfoundland and Labrador
1001441,"Division No.  1, Subd. N",71,36,94,69,67,370,Other,Newfoundland and Labrador
1001446,Brigus,71,50,90,77,72,785,Other,Newfoundland and Labrador
1001452,"Division No.  1, Subd. O",72,40,97,64,68,790,Other,Newfoundland and Labrador
1001456,Colliers,77,40,97,64,69,720,Other,Newfoundland and Labrador
1001461,Conception Harbour,80,50,96,68,74,745,Other,Newfoundland and Labrador
1001464,Avondale,76,53,93,72,74,670,Other,Newfoundland and Labrador
1001469,Harbour Main-Chapel's Cove-Lakeview,79,57,93,76,76,1090,Other,Newfoundland and Labrador
1001472,Holyrood,80,57,96,80,78,1905,Other,Newfoundland and Labrador
1001485,Conception Bay South,82,57,98,83,80,21660,Other,Newfoundland and Labrador
1001490,"Division No.  1, Subd. R",66,36,93,64,65,365,Other,Newfoundland and Labrador
1001494,Wabana,63,36,92,60,63,2400,Other,Newfoundland and Labrador
1001504,Portugal Cove-St. Philip's,89,59,96,84,82,6555,Other,Newfoundland and Labrador
1001505,Pouch Cove,74,49,94,80,74,1755,Other,Newfoundland and Labrador
1001507,Flatrock,82,53,99,85,80,1210,Other,Newfoundland and Labrador
1001509,Torbay,86,61,98,86,83,6245,Other,Newfoundland and Labrador
1001511,Logy Bay-Middle Cove-Outer Cove,92,68,97,87,86,1975,Other,Newfoundland and Labrador
1001512,Bauline,85,60,97,82,81,380,Other,Newfoundland and Labrador
1001517,Paradise,86,63,98,87,84,12530,Other,Newfoundland and Labrador
1001519,St. John's,87,64,97,82,82,99425,Other,Newfoundland and Labrador
1001542,Mount Pearl,85,62,98,86,83,24520,Other,Newfoundland and Labrador
1001551,Petty Harbour-Maddox Cove,74,49,97,81,75,900,Other,Newfoundland and Labrador
1001557,Bay Bulls,81,55,99,84,80,1070,Other,Newfoundland and Labrador
1001559,Witless Bay,80,57,97,84,79,1040,Other,Newfoundland and Labrador
1001565,"Division No.  1, Subd. D",,,,,,,Other,Newfoundland and Labrador
1002001,"Division No.  2, Subd. E",70,38,100,78,71,285,Other,Newfoundland and Labrador
1002002,Lewin's Cove,73,47,98,76,74,565,Other,Newfoundland and Labrador
1002005,Burin,77,46,97,74,73,2485,Other,Newfoundland and Labrador
1002006,"Division No.  2, Subd. F",,,,,65,130,Other,Newfoundland and Labrador
1002008,St. Lawrence,75,53,97,76,75,1290,Other,Newfoundland and Labrador
1002009,"Division No.  2, Subd. G",,,,,,,Other,Newfoundland and Labrador
1002011,Lawn,69,40,95,73,69,705,Other,Newfoundland and Labrador
1002012,Lamaline,66,31,97,69,66,315,Other,Newfoundland and Labrador
1002013,Lord's Cove,,,,,65,210,Other,Newfoundland and Labrador
1002014,Point May,,,,,57,240,Other,Newfoundland and Labrador
1002015,Point au Gaul,,,,,62,85,Other,Newfoundland and Labrador
1002016,"Division No.  2, Subd. H",,,,,76,200,Other,Newfoundland and Labrador
1002017,Frenchman's Cove,,,,,69,155,Other,Newfoundland and Labrador
1002018,Fortune,72,34,96,66,67,1460,Other,Newfoundland and Labrador
1002019,Grand Bank,74,38,96,73,70,2525,Other,Newfoundland and Labrador
1002021,Garnish,75,39,97,74,71,575,Other,Newfoundland and Labrador
1002022,"Division No.  2, Subd. D",74,42,98,65,70,315,Other,Newfoundland and Labrador
1002023,Winterland,80,49,94,78,75,340,Other,Newfoundland and Labrador
1002024,Marystown,78,48,97,73,74,5435,Other,Newfoundland and Labrador
1002025,Fox Cove-Mortier,76,37,99,69,70,350,Other,Newfoundland and Labrador
1002026,"Division No.  2, Subd. I",,,,,70,145,Other,Newfoundland and Labrador
1002027,Bay L'Argent,72,28,91,71,65,285,Other,Newfoundland and Labrador
1002029,"Division No.  2, Subd. J",,,,,,,Other,Newfoundland and Labrador
1002030,Grand le Pierre,,,,,64,235,Other,Newfoundland and Labrador
1002031,"Division No.  2, Subd. C",65,33,99,73,68,690,Other,Newfoundland and Labrador
1002033,Rushoon,79,35,93,62,67,315,Other,Newfoundland and Labrador
1002034,Parkers Cove,67,28,96,66,64,305,Other,Newfoundland and Labrador
1002036,Terrenceville,75,33,98,68,68,535,Other,Newfoundland and Labrador
1002037,Red Harbour,,,,,72,210,Other,Newfoundland and Labrador
1002039,English Harbour East,,,,,62,210,Other,Newfoundland and Labrador
1002040,Baine Harbour,,,,,71,135,Other,Newfoundland and Labrador
1002041,St. Bernard's-Jacques Fontaine,74,39,98,69,70,525,Other,Newfoundland and Labrador
1002044,"Division No.  2, Subd. L",,,,,,,Other,Newfoundland and Labrador
1002048,"Division No.  2, Subd. K",76,34,97,69,69,670,Other,Newfoundland and Labrador
1002055,Little Bay East,,,,,67,225,Other,Newfoundland and Labrador
1003001,"Division No.  3, Subd. A",,,,,,,Other,Newfoundland and Labrador
1003002,Rencontre East,,,,,68,175,Other,Newfoundland and Labrador
1003003,St. Jacques-Coomb's Cove,64,39,93,80,69,665,Other,Newfoundland and Labrador
1003004,Belleoram,57,20,84,56,54,420,Other,Newfoundland and Labrador
1003005,Pool's Cove,,,,,64,190,Other,Newfoundland and Labrador
1003006,"Division No.  3, Subd. B",,,,,,,Other,Newfoundland and Labrador
1003008,Harbour Breton,71,36,97,69,68,1845,Other,Newfoundland and Labrador
1003009,"Division No.  3, Subd. C",,,,,,,Other,Newfoundland and Labrador
1003010,Seal Cove (Fortune Bay),69,25,100,60,64,315,Other,Newfoundland and Labrador
1003011,Hermitage-Sandyville,68,31,95,74,67,500,Other,Newfoundland and Labrador
1003012,Gaultois,60,34,95,55,61,265,Other,Newfoundland and Labrador
1003014,"Division No.  3, Subd. D",73,44,100,67,71,380,Other,Newfoundland and Labrador
1003018,Milltown-Head of Bay d'Espoir,75,33,94,68,67,880,Other,Newfoundland and Labrador
1003019,St. Alban's,72,39,96,74,70,1250,Other,Newfoundland and Labrador
1003020,Morrisville,,,,,64,125,Other,Newfoundland and Labrador
1003021,"Division No.  3, Subd. E",,,,,78,135,Other,Newfoundland and Labrador
1003024,"Division No.  3, Subd. F",,,,,73,165,Other,Newfoundland and Labrador
1003026,Ramea,74,37,91,65,67,620,Other,Newfoundland and Labrador
1003028,Burgeo,74,39,97,65,69,1590,Other,Newfoundland and Labrador
1003031,"Division No.  3, Subd. H",73,34,97,73,69,730,Other,Newfoundland and Labrador
1003032,Isle aux Morts,78,34,99,56,67,710,Other,Newfoundland and Labrador
1003033,Burnt Islands,80,28,94,67,67,705,Other,Newfoundland and Labrador
1003034,Channel-Port aux Basques,76,38,95,72,70,4255,Other,Newfoundland and Labrador
1003038,"Division No.  3, Subd. I",,,,,60,155,Other,Newfoundland and Labrador
1003042,"Division No.  3, Subd. J",,,,,,40,Other,Newfoundland and Labrador
1003045,Rose Blanche-Harbour le Cou,69,31,95,60,64,545,Other,Newfoundland and Labrador
1003801,Samiajij Miawpukek,61,46,89,75,68,870,First Nation,Newfoundland and Labrador
1004001,"Division No.  4, Subd. A",73,43,94,61,68,1885,Other,Newfoundland and Labrador
1004006,"Division No.  4, Subd. B",69,41,90,67,67,1400,Other,Newfoundland and Labrador
1004011,"Division No.  4, Subd. C",61,28,91,52,58,845,Other,Newfoundland and Labrador
1004013,St. George's,71,48,96,64,69,1245,Other,Newfoundland and Labrador
1004016,"Division No.  4, Subd. D",74,42,97,73,72,920,Other,Newfoundland and Labrador
1004017,Gallants,,,,,,55,Other,Newfoundland and Labrador
1004018,Stephenville Crossing,65,38,93,61,64,1835,Other,Newfoundland and Labrador
1004019,Stephenville,75,53,94,72,74,6575,Other,Newfoundland and Labrador
1004020,Kippens,81,57,95,76,77,1740,Other,Newfoundland and Labrador
1004021,Port au Port East,81,46,92,62,70,610,Other,Newfoundland and Labrador
1004022,"Division No.  4, Subd. E",62,30,94,56,60,2095,Other,Newfoundland and Labrador
1004033,Cape St. George,71,33,94,59,64,890,Other,Newfoundland and Labrador
1004037,Lourdes,66,36,89,63,64,550,Other,Newfoundland and Labrador
1004042,Port au Port West-Aguathuna-Felix Cove,75,49,98,77,75,385,Other,Newfoundland and Labrador
1005001,"Division No.  5, Subd. A",,,,,71,255,Other,Newfoundland and Labrador
1005003,"Division No.  5, Subd. G",70,31,93,63,64,595,Other,Newfoundland and Labrador
1005004,Deer Lake,75,47,94,74,73,4755,Other,Newfoundland and Labrador
1005005,Jackson's Arm,68,29,96,61,64,375,Other,Newfoundland and Labrador
1005006,Howley,,,,,64,240,Other,Newfoundland and Labrador
1005007,"Division No.  5, Subd. E",,,,,,,Other,Newfoundland and Labrador
1005008,Hampden,63,28,91,55,59,485,Other,Newfoundland and Labrador
1005009,Reidville,74,40,97,69,70,510,Other,Newfoundland and Labrador
1005010,"Division No.  5, Subd. F",87,64,98,84,83,485,Other,Newfoundland and Labrador
1005011,Steady Brook,93,73,97,77,85,395,Other,Newfoundland and Labrador
1005012,Pasadena,81,56,98,78,78,3180,Other,Newfoundland and Labrador
1005014,Cormack,71,49,94,71,71,655,Other,Newfoundland and Labrador
1005015,Gillams,72,40,96,83,73,400,Other,Newfoundland and Labrador
1005016,"Division No.  5, Subd. C",,,,,73,65,Other,Newfoundland and Labrador
1005017,Massey Drive,85,64,98,89,84,1170,Other,Newfoundland and Labrador
1005018,Corner Brook,82,56,96,79,78,19760,Other,Newfoundland and Labrador
1005019,"Division No.  5, Subd. D",,,,,,,Other,Newfoundland and Labrador
1005020,Humber Arm South,78,39,95,72,71,1855,Other,Newfoundland and Labrador
1005022,McIvers,71,31,95,69,67,570,Other,Newfoundland and Labrador
1005023,Cox's Cove,60,24,94,54,58,645,Other,Newfoundland and Labrador
1005024,Lark Harbour,67,31,94,66,64,550,Other,Newfoundland and Labrador
1005025,Meadows,77,41,94,71,71,640,Other,Newfoundland and Labrador
1005028,Hughes Brook,,,,,77,200,Other,Newfoundland and Labrador
1005030,Irishtown-Summerside,76,46,97,74,73,1275,Other,Newfoundland and Labrador
1005033,Mount Moriah,74,45,99,78,74,750,Other,Newfoundland and Labrador
1005035,York Harbour,76,43,93,85,74,365,Other,Newfoundland and Labrador
1006001,"Division No.  6, Subd. D",72,52,97,71,73,285,Other,Newfoundland and Labrador
1006003,Norris Arm,74,36,90,64,66,910,Other,Newfoundland and Labrador
1006008,"Division No.  6, Subd. E",,,,,,,Other,Newfoundland and Labrador
1006009,Gander,86,60,96,84,81,9680,Other,Newfoundland and Labrador
1006011,Appleton,78,47,99,77,75,585,Other,Newfoundland and Labrador
1006012,Glenwood,71,46,91,63,68,760,Other,Newfoundland and Labrador
1006014,"Division No.  6, Subd. C",75,47,95,61,70,400,Other,Newfoundland and Labrador
1006015,Northern Arm,83,51,98,75,77,385,Other,Newfoundland and Labrador
1006017,Grand Falls-Windsor,80,52,95,77,76,13380,Other,Newfoundland and Labrador
1006019,Bishop's Falls,72,42,94,72,70,3375,Other,Newfoundland and Labrador
1006021,Peterview,56,14,96,46,53,800,Other,Newfoundland and Labrador
1006022,Botwood,72,43,93,65,68,2980,Other,Newfoundland and Labrador
1006026,Badger,71,47,94,70,71,810,Other,Newfoundland and Labrador
1006028,Millertown,,,,,62,80,Other,Newfoundland and Labrador
1006029,"Division No.  6, Subd. A",,,,,63,140,Other,Newfoundland and Labrador
1006031,Buchans,72,49,94,60,69,740,Other,Newfoundland and Labrador
1007001,"Division No.  7, Subd. M",79,39,96,70,71,2145,Other,Newfoundland and Labrador
1007006,"Division No.  7, Subd. L",71,34,97,77,70,1350,Other,Newfoundland and Labrador
1007009,"Division No.  7, Subd. K",73,36,93,81,71,1165,Other,Newfoundland and Labrador
1007013,Clarenville,86,57,96,82,80,5165,Other,Newfoundland and Labrador
1007014,"Division No.  7, Subd. J",66,32,93,69,65,640,Other,Newfoundland and Labrador
1007015,Trinity (Trinity Bay),,,,,71,210,Other,Newfoundland and Labrador
1007016,Port Rexton,78,45,98,71,73,350,Other,Newfoundland and Labrador
1007017,Little Catalina,70,34,92,69,66,455,Other,Newfoundland and Labrador
1007018,"Division No.  7, Subd. I",,,,,58,120,Other,Newfoundland and Labrador
1007020,Elliston,68,32,90,65,64,305,Other,Newfoundland and Labrador
1007022,Trinity Bay North,71,37,95,74,69,1535,Other,Newfoundland and Labrador
1007023,Bonavista,71,38,95,68,68,3710,Other,Newfoundland and Labrador
1007024,"Division No.  7, Subd. G",63,28,77,65,58,435,Other,Newfoundland and Labrador
1007025,Keels,,,,,,50,Other,Newfoundland and Labrador
1007026,Duntara,,,,,69,70,Other,Newfoundland and Labrador
1007027,King's Cove,,,,,70,120,Other,Newfoundland and Labrador
1007028,"Division No.  7, Subd. F",70,33,94,59,64,1065,Other,Newfoundland and Labrador
1007031,"Division No.  7, Subd. E",70,37,95,67,67,2765,Other,Newfoundland and Labrador
1007032,Musgravetown,71,45,96,78,73,585,Other,Newfoundland and Labrador
1007036,Port Blandford,77,33,92,67,67,525,Other,Newfoundland and Labrador
1007037,Traytown,76,48,91,62,69,300,Other,Newfoundland and Labrador
1007038,"Division No.  7, Subd. D",,,,,,,Other,Newfoundland and Labrador
1007039,Savage Cove-Sandy Cove,,,,,73,135,Other,Newfoundland and Labrador
1007040,Terra Nova,,,,,,65,Other,Newfoundland and Labrador
1007041,Happy Adventure,,,,,70,230,Other,Newfoundland and Labrador
1007042,Eastport,75,35,98,62,68,500,Other,Newfoundland and Labrador
1007043,Sandringham,66,42,96,78,71,255,Other,Newfoundland and Labrador
1007044,Glovertown,73,48,94,71,72,1995,Other,Newfoundland and Labrador
1007045,"Division No.  7, Subd. N",,,,,,,Other,Newfoundland and Labrador
1007046,Salvage,,,,,67,200,Other,Newfoundland and Labrador
1007047,Gambo,71,42,96,64,68,2010,Other,Newfoundland and Labrador
1007048,St. Brendan's,,,,,67,205,Other,Newfoundland and Labrador
1007049,Hare Bay,65,35,96,66,65,1045,Other,Newfoundland and Labrador
1007050,Centreville-Wareham-Trinity,66,29,94,58,62,1120,Other,Newfoundland and Labrador
1007051,"Division No.  7, Subd. B",,,,,,,Other,Newfoundland and Labrador
1007054,Greenspond,69,37,88,79,68,365,Other,Newfoundland and Labrador
1007056,"Division No.  7, Subd. A",,,,,60,175,Other,Newfoundland and Labrador
1007057,Dover,60,33,93,61,62,690,Other,Newfoundland and Labrador
1007060,New-Wes-Valley,77,38,96,77,72,2420,Other,Newfoundland and Labrador
1007067,Indian Bay,,,,,70,195,Other,Newfoundland and Labrador
1008001,"Division No.  8, Subd. M",,,,,50,200,Other,Newfoundland and Labrador
1008004,Lumsden,75,41,100,79,74,535,Other,Newfoundland and Labrador
1008006,Musgrave Harbour,70,35,99,81,71,1055,Other,Newfoundland and Labrador
1008008,"Division No.  8, Subd. L",68,31,93,62,63,3225,Other,Newfoundland and Labrador
1008011,Carmanville,71,44,95,68,69,745,Other,Newfoundland and Labrador
1008020,Fogo Island Region (Part),64,27,92,68,63,480,Other,Newfoundland and Labrador
1008021,Fogo,72,36,99,81,72,735,Other,Newfoundland and Labrador
1008022,Joe Batt's Arm-Barr'd Islands-Shoal Bay,68,33,94,78,68,780,Other,Newfoundland and Labrador
1008023,Tilting,,,,,72,250,Other,Newfoundland and Labrador
1008024,Change Islands,70,45,98,66,70,300,Other,Newfoundland and Labrador
1008025,Seldom-Little Seldom,70,44,94,84,73,440,Other,Newfoundland and Labrador
1008026,"Division No.  8, Subd. I",,,,,67,210,Other,Newfoundland and Labrador
1008029,Crow Head,,,,,68,205,Other,Newfoundland and Labrador
1008031,"Division No.  8, Subd. H",67,27,95,67,64,2135,Other,Newfoundland and Labrador
1008032,Cottlesville,72,25,100,66,66,280,Other,Newfoundland and Labrador
1008033,Summerford,69,30,91,64,64,975,Other,Newfoundland and Labrador
1008035,Twillingate,72,37,97,75,70,2400,Other,Newfoundland and Labrador
1008036,"Division No.  8, Subd. G",81,33,95,65,68,600,Other,Newfoundland and Labrador
1008037,Campbellton,68,41,95,62,66,495,Other,Newfoundland and Labrador
1008038,Birchy Bay,74,38,97,66,69,600,Other,Newfoundland and Labrador
1008039,Comfort Cove-Newstead,80,29,94,78,70,450,Other,Newfoundland and Labrador
1008040,Baytona,68,36,100,64,67,275,Other,Newfoundland and Labrador
1008042,"Division No.  8, Subd. F",71,34,97,68,68,895,Other,Newfoundland and Labrador
1008043,Embree,69,38,96,70,68,695,Other,Newfoundland and Labrador
1008044,Lewisporte,79,51,97,77,76,3200,Other,Newfoundland and Labrador
1008045,Little Burnt Bay,69,39,92,54,64,325,Other,Newfoundland and Labrador
1008046,"Division No.  8, Subd. E",60,23,97,52,58,695,Other,Newfoundland and Labrador
1008047,Point of Bay,,,,,71,170,Other,Newfoundland and Labrador
1008048,Leading Tickles,70,23,93,56,60,390,Other,Newfoundland and Labrador
1008049,Point Leamington,75,50,92,56,68,645,Other,Newfoundland and Labrador
1008052,"Division No.  8, Subd. D",,,,,,,Other,Newfoundland and Labrador
1008053,Pilley's Island,69,30,95,70,66,315,Other,Newfoundland and Labrador
1008054,Triton,74,37,95,70,69,1030,Other,Newfoundland and Labrador
1008055,Brighton,,,,,68,210,Other,Newfoundland and Labrador
1008056,Lushes Bight-Beaumont-Beaumont North,60,30,90,65,61,275,Other,Newfoundland and Labrador
1008058,"Division No.  8, Subd. C",77,42,95,67,70,375,Other,Newfoundland and Labrador
1008059,South Brook,75,37,90,64,67,530,Other,Newfoundland and Labrador
1008060,Robert's Arm,74,36,97,58,66,840,Other,Newfoundland and Labrador
1008061,Springdale,77,45,95,75,73,2660,Other,Newfoundland and Labrador
1008062,Port Anson,,,,,51,155,Other,Newfoundland and Labrador
1008063,Little Bay,,,,,71,100,Other,Newfoundland and Labrador
1008064,Little Bay Islands,,,,,56,155,Other,Newfoundland and Labrador
1008065,"Division No.  8, Subd. P",70,38,92,63,66,380,Other,Newfoundland and Labrador
1008066,Beachside,,,,,61,185,Other,Newfoundland and Labrador
1008067,"Division No.  8, Subd. O",72,42,99,74,72,355,Other,Newfoundland and Labrador
1008069,King's Point,74,39,96,70,70,670,Other,Newfoundland and Labrador
1008070,Nippers Harbour,,,,,69,155,Other,Newfoundland and Labrador
1008071,Burlington,59,38,80,68,61,375,Other,Newfoundland and Labrador
1008072,Middle Arm,63,32,97,61,63,515,Other,Newfoundland and Labrador
1008073,Tilt Cove,,,,,,,Other,Newfoundland and Labrador
1008074,"Division No.  8, Subd. A",68,24,98,61,63,605,Other,Newfoundland and Labrador
1008075,Fleur de Lys,73,35,91,78,69,285,Other,Newfoundland and Labrador
1008076,LaScie,74,32,97,79,71,955,Other,Newfoundland and Labrador
1008077,Brent's Cove,,,,,69,190,Other,Newfoundland and Labrador
1008078,Pacquet,,,,,63,230,Other,Newfoundland and Labrador
1008079,Baie Verte,76,49,96,78,75,1220,Other,Newfoundland and Labrador
1008091,Seal Cove (White Bay),66,38,96,66,67,330,Other,Newfoundland and Labrador
1008092,Coachman's Cove,,,,,71,90,Other,Newfoundland and Labrador
1008093,Westport,,,,,63,225,Other,Newfoundland and Labrador
1008095,Ming's Bight,74,32,92,76,69,345,Other,Newfoundland and Labrador
1008096,Woodstock,,,,,64,185,Other,Newfoundland and Labrador
1008098,Miles Cove,,,,,70,155,Other,Newfoundland and Labrador
1009001,"Division No.  9, Subd. F",,,,,64,115,Other,Newfoundland and Labrador
1009004,Englee,68,31,98,51,62,615,Other,Newfoundland and Labrador
1009006,Roddickton,72,33,96,65,66,910,Other,Newfoundland and Labrador
1009008,Conche,,,,,62,225,Other,Newfoundland and Labrador
1009009,"Division No.  9, Subd. A",,,,,66,215,Other,Newfoundland and Labrador
1009010,Trout River,63,26,83,68,60,605,Other,Newfoundland and Labrador
1009011,"Woody Point, Bonne Bay",72,42,95,75,71,355,Other,Newfoundland and Labrador
1009012,Norris Point,77,46,97,70,73,680,Other,Newfoundland and Labrador
1009013,Rocky Harbour,72,43,97,77,72,975,Other,Newfoundland and Labrador
1009015,Daniel's Harbour,80,37,98,73,72,290,Other,Newfoundland and Labrador
1009016,Cow Head,72,36,98,74,70,485,Other,Newfoundland and Labrador
1009017,Parson's Pond,67,36,99,67,67,385,Other,Newfoundland and Labrador
1009018,Hawke's Bay,71,25,95,60,63,390,Other,Newfoundland and Labrador
1009019,Port Saunders,79,47,95,80,75,725,Other,Newfoundland and Labrador
1009020,St. Pauls,63,33,98,63,64,310,Other,Newfoundland and Labrador
1009021,"Division No.  9, Subd. C",73,34,94,65,66,3000,Other,Newfoundland and Labrador
1009022,Port au Choix,75,37,94,76,71,890,Other,Newfoundland and Labrador
1009023,Anchor Point,77,24,90,79,68,310,Other,Newfoundland and Labrador
1009024,Flower's Cove,72,34,97,65,67,270,Other,Newfoundland and Labrador
1009026,Bird Cove,,,,,74,135,Other,Newfoundland and Labrador
1009027,Bide Arm,,,,,73,190,Other,Newfoundland and Labrador
1009028,Main Brook,74,31,98,62,66,290,Other,Newfoundland and Labrador
1009029,St. Anthony,79,47,96,78,75,2375,Other,Newfoundland and Labrador
1009030,Glenburnie-Birchy Head-Shoal Brook,75,36,90,57,64,275,Other,Newfoundland and Labrador
1009031,"Division No.  9, Subd. D",72,30,94,66,66,895,Other,Newfoundland and Labrador
1009032,St. Lunaire-Griquet,68,43,94,65,68,665,Other,Newfoundland and Labrador
1009034,Cook's Harbour,,,,,60,190,Other,Newfoundland and Labrador
1009035,Raleigh,,,,,70,245,Other,Newfoundland and Labrador
1009037,Sally's Cove,,,,,,,Other,Newfoundland and Labrador
1009039,Goose Cove East,,,,,78,240,Other,Newfoundland and Labrador
1009041,"Division No.  9, Subd. H",,,,,58,205,Other,Newfoundland and Labrador
1009042,Bellburns,,,,,59,70,Other,Newfoundland and Labrador
1009047,"Division No.  9, Subd. G",,,,,49,85,Other,Newfoundland and Labrador
1009048,River of Ponds,77,47,97,60,70,255,Other,Newfoundland and Labrador
1010001,"Division No. 10, Subd. A",,,,,67,80,Other,Newfoundland and Labrador
1010002,L'Anse-au-Loup,77,37,94,80,72,590,Other,Newfoundland and Labrador
1010003,Red Bay,,,,,65,225,Other,Newfoundland and Labrador
1010004,L'Anse-au-Clair,,,,,76,225,Other,Newfoundland and Labrador
